GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,AwayScore,HomeScore,PointSpread,OverUnder,StadiumID,Day,AwayTeamID,HomeTeamID,ScoreID,Status
202210132,1,2022,1,2022-09-08T20:20:00,BUF,LAR,31.0,10.0,1.5,51.4,54,2022-09-08T00:00:00,4,32,18006,Final
202210102,1,2022,1,2022-09-11T13:00:00,NO,ATL,27.0,26.0,5.4,43.5,45,2022-09-11T00:00:00,22,2,18007,Final
202210105,1,2022,1,2022-09-11T13:00:00,CLE,CAR,26.0,24.0,-1.5,41.0,26,2022-09-11T00:00:00,8,5,18014,Final
202210106,1,2022,1,2022-09-11T13:00:00,SF,CHI,10.0,19.0,6.4,37.1,20,2022-09-11T00:00:00,31,6,18008,Final
202210107,1,2022,1,2022-09-11T13:00:00,PIT,CIN,23.0,20.0,-6.9,44.0,5,2022-09-11T00:00:00,28,7,18009,F/OT
202210111,1,2022,1,2022-09-11T13:00:00,PHI,DET,38.0,35.0,5.4,48.0,21,2022-09-11T00:00:00,26,11,18010,Final
202210113,1,2022,1,2022-09-11T13:00:00,IND,HOU,20.0,20.0,6.8,45.0,11,2022-09-11T00:00:00,14,13,18015,F/OT
202210119,1,2022,1,2022-09-11T13:00:00,NE,MIA,7.0,20.0,-3.0,45.5,2,2022-09-11T00:00:00,21,19,18011,Final
202210124,1,2022,1,2022-09-11T13:00:00,BAL,NYJ,24.0,9.0,6.4,43.5,3,2022-09-11T00:00:00,3,24,18012,Final
202210135,1,2022,1,2022-09-11T13:00:00,JAX,WAS,22.0,28.0,-3.0,43.5,19,2022-09-11T00:00:00,15,35,18013,Final
202210101,1,2022,1,2022-09-11T16:25:00,KC,ARI,44.0,21.0,5.9,52.9,29,2022-09-11T00:00:00,16,1,18018,Final
202210129,1,2022,1,2022-09-11T16:25:00,LV,LAC,19.0,24.0,-3.5,51.9,54,2022-09-11T00:00:00,25,29,18019,Final
202210120,1,2022,1,2022-09-11T16:25:00,GB,MIN,7.0,23.0,-1.5,46.0,42,2022-09-11T00:00:00,12,20,18017,Final
202210134,1,2022,1,2022-09-11T16:25:00,NYG,TEN,21.0,20.0,-5.4,43.5,12,2022-09-11T00:00:00,23,34,18016,Final
202210109,1,2022,1,2022-09-11T20:20:00,TB,DAL,19.0,3.0,2.4,49.4,17,2022-09-11T00:00:00,33,9,18020,Final
202210130,1,2022,1,2022-09-12T20:15:00,DEN,SEA,16.0,17.0,5.9,43.5,31,2022-09-12T00:00:00,10,30,18021,Final
202210216,1,2022,2,2022-09-15T20:15:00,LAC,KC,24.0,27.0,-4.0,51.9,15,2022-09-15T00:00:00,29,16,17995,Final
202210203,1,2022,2,2022-09-18T13:00:00,MIA,BAL,42.0,38.0,-3.5,43.0,7,2022-09-18T00:00:00,19,3,18027,Final
202210208,1,2022,2,2022-09-18T13:00:00,NYJ,CLE,31.0,30.0,-6.4,38.1,6,2022-09-18T00:00:00,24,8,18022,Final
202210211,1,2022,2,2022-09-18T13:00:00,WAS,DET,27.0,36.0,0.5,48.0,21,2022-09-18T00:00:00,35,11,18242,Final
202210215,1,2022,2,2022-09-18T13:00:00,IND,JAX,0.0,24.0,2.9,43.0,10,2022-09-18T00:00:00,14,15,18026,Final
202210222,1,2022,2,2022-09-18T13:00:00,TB,NO,20.0,10.0,2.4,43.0,27,2022-09-18T00:00:00,33,22,18023,Final
202210223,1,2022,2,2022-09-18T13:00:00,CAR,NYG,16.0,19.0,1.0,43.0,3,2022-09-18T00:00:00,5,23,18024,Final
202210228,1,2022,2,2022-09-18T13:00:00,NE,PIT,17.0,14.0,2.9,39.6,8,2022-09-18T00:00:00,21,28,18025,Final
202210232,1,2022,2,2022-09-18T16:05:00,ATL,LAR,27.0,31.0,-10.4,45.5,54,2022-09-18T00:00:00,2,32,18243,Final
202210231,1,2022,2,2022-09-18T16:05:00,SEA,SF,7.0,27.0,-8.4,39.1,37,2022-09-18T00:00:00,30,31,18028,Final
202210209,1,2022,2,2022-09-18T16:25:00,CIN,DAL,17.0,20.0,6.8,41.5,17,2022-09-18T00:00:00,7,9,18244,Final
202210210,1,2022,2,2022-09-18T16:25:00,HOU,DEN,9.0,16.0,-9.9,45.0,13,2022-09-18T00:00:00,13,10,18029,Final
202210225,1,2022,2,2022-09-18T16:25:00,ARI,LV,29.0,23.0,-5.4,51.4,53,2022-09-18T00:00:00,1,25,18030,F/OT
202210212,1,2022,2,2022-09-18T20:20:00,CHI,GB,10.0,27.0,-10.4,41.5,22,2022-09-18T00:00:00,6,12,18031,Final
202210204,1,2022,2,2022-09-19T19:15:00,TEN,BUF,7.0,41.0,-9.9,46.5,1,2022-09-19T00:00:00,34,4,18001,Final
202210226,1,2022,2,2022-09-19T20:30:00,MIN,PHI,7.0,24.0,-3.0,49.0,18,2022-09-19T00:00:00,20,26,18002,Final
202210308,1,2022,3,2022-09-22T20:15:00,PIT,CLE,17.0,29.0,-4.5,37.6,6,2022-09-22T00:00:00,28,8,18049,Final
202210305,1,2022,3,2022-09-25T13:00:00,NO,CAR,14.0,22.0,2.0,40.5,26,2022-09-25T00:00:00,22,5,18056,Final
202210306,1,2022,3,2022-09-25T13:00:00,HOU,CHI,20.0,23.0,-3.0,39.1,20,2022-09-25T00:00:00,13,6,18050,Final
202210314,1,2022,3,2022-09-25T13:00:00,KC,IND,17.0,20.0,4.4,50.4,9,2022-09-25T00:00:00,16,14,18032,Final
202210319,1,2022,3,2022-09-25T13:00:00,BUF,MIA,19.0,21.0,4.4,53.4,2,2022-09-25T00:00:00,4,19,18052,Final
202210320,1,2022,3,2022-09-25T13:00:00,DET,MIN,24.0,28.0,-6.4,50.9,42,2022-09-25T00:00:00,11,20,18053,Final
202210321,1,2022,3,2022-09-25T13:00:00,BAL,NE,37.0,26.0,2.4,44.5,4,2022-09-25T00:00:00,3,21,18033,Final
202210324,1,2022,3,2022-09-25T13:00:00,CIN,NYJ,27.0,12.0,6.4,45.5,3,2022-09-25T00:00:00,7,24,18054,Final
202210334,1,2022,3,2022-09-25T13:00:00,LV,TEN,22.0,24.0,2.0,45.0,12,2022-09-25T00:00:00,25,34,18051,Final
202210335,1,2022,3,2022-09-25T13:00:00,PHI,WAS,24.0,8.0,5.9,47.0,19,2022-09-25T00:00:00,26,35,18055,Final
202210329,1,2022,3,2022-09-25T16:05:00,JAX,LAC,38.0,10.0,-6.4,45.5,54,2022-09-25T00:00:00,15,29,18058,Final
202210301,1,2022,3,2022-09-25T16:25:00,LAR,ARI,20.0,12.0,3.4,48.0,29,2022-09-25T00:00:00,32,1,18059,Final
202210330,1,2022,3,2022-09-25T16:25:00,ATL,SEA,27.0,23.0,-1.0,43.0,31,2022-09-25T00:00:00,2,30,18060,Final
202210333,1,2022,3,2022-09-25T16:25:00,GB,TB,14.0,12.0,-1.5,41.5,24,2022-09-25T00:00:00,12,33,18034,Final
