SeasonType,Season,Conference,Division,Team,Name,Wins,Losses,Ties,Percentage,PointsFor,PointsAgainst,NetPoints,Touchdowns,DivisionWins,DivisionLosses,ConferenceWins,ConferenceLosses,TeamID,DivisionTies,ConferenceTies,DivisionRank,ConferenceRank,week
1,2022,AFC,East,BUF,Buffalo Bills,3,1,0,0.75,114,58,56,13,0,1,2,1,4,0,0,2,5,4
1,2022,AFC,East,MIA,Miami Dolphins,3,1,0,0.75,98,91,7,12,2,0,3,1,19,0,0,1,1,4
1,2022,AFC,East,NYJ,New York Jets,2,2,0,0.5,76,101,-25,8,0,0,2,2,24,0,0,3,9,4
1,2022,AFC,East,NE,New England Patriots,1,3,0,0.25,74,98,-24,9,0,1,1,2,21,0,0,4,14,4
1,2022,AFC,North,BAL,Baltimore Ravens,2,2,0,0.5,119,100,19,15,0,0,2,2,3,0,0,3,8,4
1,2022,AFC,North,CIN,Cincinnati Bengals,2,2,0,0.5,91,70,21,9,0,1,2,1,7,0,0,2,6,4
1,2022,AFC,North,CLE,Cleveland Browns,2,2,0,0.5,105,95,10,12,1,0,1,1,8,0,0,1,4,4
1,2022,AFC,North,PIT,Pittsburgh Steelers,1,3,0,0.25,74,90,-16,7,1,1,1,3,28,0,0,4,15,4
1,2022,AFC,South,TEN,Tennessee Titans,2,2,0,0.5,75,101,-26,9,1,0,2,1,34,0,0,2,7,4
1,2022,AFC,South,JAX,Jacksonville Jaguars,2,2,0,0.5,105,67,38,12,1,0,2,0,15,0,0,1,3,4
1,2022,AFC,South,IND,Indianapolis Colts,1,2,1,0.375,57,85,-28,6,0,2,1,2,14,1,1,3,12,4
1,2022,AFC,South,HOU,Houston Texans,0,3,1,0.125,73,93,-20,7,0,0,0,2,13,1,1,4,16,4
1,2022,AFC,West,KC,Kansas City Chiefs,3,1,0,0.75,129,96,33,16,1,0,1,1,16,0,0,1,2,4
1,2022,AFC,West,DEN,Denver Broncos,2,2,0,0.5,66,68,-2,6,0,1,1,1,10,0,0,3,11,4
1,2022,AFC,West,LAC,Los Angeles Chargers,2,2,0,0.5,92,108,-16,11,1,1,2,2,29,0,0,2,10,4
1,2022,AFC,West,LV,Las Vegas Raiders,1,3,0,0.25,96,100,-4,9,1,1,1,2,25,0,0,4,13,4
1,2022,NFC,East,PHI,Philadelphia Eagles,4,0,0,1.0,115,71,44,15,1,0,3,0,26,0,0,1,1,4
1,2022,NFC,East,DAL,Dallas Cowboys,3,1,0,0.75,71,62,9,6,2,0,2,1,9,0,0,2,5,4
1,2022,NFC,East,NYG,New York Giants,3,1,0,0.75,76,71,5,7,0,1,2,1,23,0,0,3,6,4
1,2022,NFC,East,WAS,Washington Commanders,1,3,0,0.25,73,107,-34,10,0,2,0,3,35,0,0,4,16,4
1,2022,NFC,North,MIN,Minnesota Vikings,3,1,0,0.75,86,80,6,9,2,0,3,1,20,0,0,1,2,4
1,2022,NFC,North,GB,Green Bay Packers,3,1,0,0.75,75,69,6,9,1,1,2,1,12,0,0,2,7,4
1,2022,NFC,North,CHI,Chicago Bears,2,2,0,0.5,64,77,-13,6,0,1,1,2,6,0,0,3,12,4
1,2022,NFC,North,DET,Detroit Lions,1,3,0,0.25,140,141,-1,18,0,1,1,3,11,0,0,4,15,4
1,2022,NFC,South,ATL,Atlanta Falcons,2,2,0,0.5,103,101,2,10,0,1,1,2,2,0,0,2,10,4
1,2022,NFC,South,TB,Tampa Bay Buccaneers,2,2,0,0.5,82,68,14,8,1,0,2,1,33,0,0,1,3,4
1,2022,NFC,South,NO,New Orleans Saints,1,3,0,0.25,76,96,-20,9,1,2,1,3,22,0,0,4,14,4
1,2022,NFC,South,CAR,Carolina Panthers,1,3,0,0.25,78,85,-7,8,1,0,1,2,5,0,0,3,13,4
1,2022,NFC,West,ARI,Arizona Cardinals,2,2,0,0.5,88,103,-15,10,0,1,1,1,1,0,0,3,9,4
1,2022,NFC,West,LAR,Los Angeles Rams,2,2,0,0.5,70,94,-24,7,1,1,2,1,32,0,0,2,8,4
1,2022,NFC,West,SEA,Seattle Seahawks,2,2,0,0.5,95,115,-20,11,0,1,1,2,30,0,0,4,11,4
1,2022,NFC,West,SF,San Francisco 49ers,2,2,0,0.5,71,46,25,8,2,0,2,1,31,0,0,1,4,4
