SeasonType,Season,Team,Score,OpponentScore,TotalScore,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossession,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossession,TimesSackedPercentage,TeamName,Games,TeamSeasonID,TeamID,TeamStatID
1,2022,ARI,88,103,191,0,16,17,49,6,34:33,31,35,24,13,0,28:00,3.8,Cardinals,4,221000001,1,221000001
1,2022,ATL,103,101,204,23,23,24,33,0,29:58,24,34,16,27,0,31:02,6.7,Falcons,4,221000002,2,221000002
1,2022,BAL,119,100,219,31,41,38,9,0,30:22,3,30,24,43,0,30:38,6.4,Ravens,4,221000036,3,221000036
1,2022,BUF,114,58,172,24,27,44,19,0,31:20,28,23,0,7,0,29:40,4.5,Bills,4,221000037,4,221000037
1,2022,CAR,78,85,163,7,29,7,35,0,24:18,6,20,17,42,0,36:42,8.6,Panthers,4,221000005,5,221000005
1,2022,CHI,64,77,141,23,6,20,15,0,27:20,17,42,12,6,0,33:40,19.3,Bears,4,221000038,6,221000038
1,2022,CIN,91,70,161,27,16,21,27,0,35:22,33,22,6,6,3,27:08,9.2,Bengals,4,221000007,7,221000007
1,2022,CLE,105,95,200,14,40,12,39,0,36:38,10,35,0,50,0,24:22,3.8,Browns,4,221000008,8,221000008
1,2022,DAL,71,62,133,23,15,10,23,0,28:16,9,16,26,11,0,32:44,4.4,Cowboys,4,221000048,9,221000048
1,2022,DEN,66,68,134,13,25,2,26,0,31:27,20,29,6,13,0,29:33,8.4,Broncos,4,221000049,10,221000049
1,2022,DET,140,141,281,32,33,32,43,0,29:20,14,48,43,36,0,31:40,3.2,Lions,4,221000011,11,221000011
1,2022,GB,75,69,144,10,35,17,10,3,34:02,20,17,16,16,0,28:28,6.3,Packers,4,221000012,12,221000012
1,2022,HOU,73,93,166,10,27,26,10,0,29:42,23,26,7,37,0,34:48,7.2,Texans,4,221000013,13,221000013
1,2022,IND,57,85,142,10,13,10,24,0,32:13,27,38,20,0,0,30:17,8.9,Colts,4,221000014,14,221000014
1,2022,JAX,105,67,172,24,26,31,24,0,31:58,7,34,3,23,0,29:02,4.3,Jaguars,4,221000052,15,221000052
1,2022,KC,129,96,225,34,38,34,23,0,32:33,13,31,17,35,0,28:27,3.3,Chiefs,4,221000055,16,221000055
1,2022,LAC,92,108,200,13,48,17,14,0,30:50,3,30,39,36,0,30:10,2.4,Chargers,4,221000084,29,221000084
1,2022,LAR,70,94,164,20,30,17,3,0,30:57,14,19,17,44,0,30:03,9.6,Rams,4,221000032,32,221000032
1,2022,LV,96,100,196,16,36,19,25,0,31:43,17,40,14,23,6,31:49,6.1,Raiders,4,221000083,25,221000083
1,2022,MIA,98,91,189,13,37,13,35,0,29:46,21,35,17,18,0,31:14,4.8,Dolphins,4,221000064,19,221000064
1,2022,MIN,86,80,166,14,37,6,29,0,28:20,14,31,24,11,0,32:40,4.2,Vikings,4,221000067,20,221000067
1,2022,NE,74,98,172,6,27,28,13,0,31:55,10,31,33,21,3,32:35,7.1,Patriots,4,221000021,21,221000021
1,2022,NO,76,96,172,10,7,10,49,0,29:33,17,25,13,41,0,31:27,8.3,Saints,4,221000069,22,221000069
1,2022,NYG,76,71,147,13,10,33,20,0,31:52,16,18,24,13,0,29:08,11.5,Giants,4,221000075,23,221000075
1,2022,NYJ,76,101,177,9,27,3,37,0,29:28,24,26,31,20,0,31:32,4.9,Jets,4,221000082,24,221000082
1,2022,PHI,115,71,186,7,85,14,9,0,34:41,21,14,7,29,0,26:19,6.8,Eagles,4,221000026,26,221000026
1,2022,PIT,74,90,164,10,30,10,21,3,27:38,16,23,18,33,0,36:52,5.8,Steelers,4,221000028,28,221000028
1,2022,SEA,95,115,210,31,30,24,10,0,28:13,25,40,18,32,0,32:47,4.3,Seahawks,4,221000090,30,221000090
1,2022,SF,71,46,117,20,28,3,20,0,31:41,3,6,19,18,0,29:19,6.1,49ers,4,221000093,31,221000093
1,2022,TB,82,68,150,12,20,20,30,0,28:35,27,21,10,10,0,32:25,4.3,Buccaneers,4,221000095,33,221000095
1,2022,TEN,75,101,176,35,33,7,0,0,29:42,10,27,47,17,0,31:18,6.2,Titans,4,221000034,34,221000034
1,2022,WAS,73,107,180,7,14,18,34,0,33:45,18,43,19,27,0,27:15,9.0,Commanders,4,221000097,35,221000097
